TABLE_NAME,TABLE_ROWS
buys,400
candidate,40
creates,35
customer,50
department,4
emp_dept_history,86
employee,80
interview,184
job_application,151
job_position,35
part,30
person,150
potential_employee,40
product,50
product_part,265
purchase_from,48
salary,621
sale_history,500
site,15
supplies,127
tracks,200
vendor,20
works_on,192
